Q No.,CAT TAGS,QUESTION,A,B,C,D,CORRECT OPTION
706,16: Principles of data collection,Which of the following does NOT apply in checking the quality of filled forms during data collection?,Completeness,Consistency,Readability,Statistical significance,D
707,16: Principles of data collection,"During data collection in a study, a data collector is faced with a situation where the participant refuses to answer a particular question in the middle of the interview. What is the appropriate action in this situation?",End the interview and report to the investigator,Continue the interview with the remaining questions,Seek the answer to that question from family members,Try to persuade the participant to answer the question somehow,A
708,17: Data management,Steps in data management include,"Defining a variable, creating a study database and dictionary","Enter data, correct errors and create data set for analysis",Backup and archive data set,All of the above,D
709,17: Data management,"When we are creating variable name, it should be",Clearly understandable and should refer to the questionnaire,Long and can have spaces,Consistent and without duplicates,a' and 'c',D
710,17: Data management,"In a data management system, each row represents a",Variable,Record,Heading,Appendix,B
711,17: Data management,What is (are) the specifications that we need to check before doing data entry?,"Minimum and maximum values, legal codes, skip patterns",Record name and description of record,"Automatic coding, coping data from preceding record and calculations",a' and 'c',D
712,17: Data management,Identifier in the database is (are),Unique,Maintained by a computerized index,Secured by quality assurance procedures,All of the above,D
713,17: Data management,Key elements of data management,Data structure and data entry,Individual and aggregated databases,Mother and daughter databases,All of the above,D
714,17: Data management,The design of data collection instrument,Data entry friendly,"Outline of	major data collection topics/items",Auto coding function,All of the above,D
715,17: Data management,"When we are coding for data entry, we should",Prefer numerical coding,Use highly complex codes,Decide on the codes for 'missing values' and 'not applicable' items,a' and 'c',D
716,17: Data management,"When information is available at various levels (e.g. at Village, Household, Individual and Illness episode), we can store information at each level in separate databases and link when necessary",TRUE,FALSE,,,A
717,17: Data management,Which of the following is (are) not true about normalized database?,Normalized database facilitates further aggregation,It has only one count by record,Normalized database does not facilitate further data aggregation,a' and 'b',C
718,17: Data management,"A post-graduate researcher has completed the data collection for her thesis. During data management, she should do all the following, except",Applying for the ethics committee clearance,Create study database,Create dataset for analysis,Back-up dataset,A
719,17: Data management,Data documentation includes information about the following items,"Structure (Name, number of records etc) alone","Storage information (Media, location, backup information)","Structure (Name, number of records etc), Variables (Name, values, coding), History (Creation, modification), and Storage information (Media, location, backup information)","Structure (Name, number of records etc), Storage information (Media, location, backup information), and Variables (Name, values, coding)",C
720,17: Data management,A variable name should be,Clearly understandable and should refer to the questionnaire,"Short, no space",Consistent and without duplicates,All of the above,D
721,17: Data management,Design of data entry can be broadly outlined as,"Identifier, Demographics, Outcome, and Exposure","Informed consent, Identifier, and Demographics","Identifier, Demographics, Outcome and data analysis plan","Informed consent, Identifier, Demographics, Outcome and data analysis plan",A
722,17: Data management,"All of the following are true about ‘Coding’ a new variable, except",Prefer numerical coding,Decide on missing values while coding,Avoid cumbersome codes,Coding with ‘0’ and ‘1’ should be avoided for dichotomous variables,D
723,17: Data management,Data entry can be considered as an opportunity to partially clean the data,TRUE,FALSE,,,A
724,17: Data management,A researcher in diabetes expected that that the fasting blood sugar levels may take any value between 50 and 150 gm/dL. In this research any coding of missing value as 99 may lead to an erroneous result.,TRUE,FALSE,,,A
725,17: Data management,"While documenting the storage information of the database, we need to document",Investigators information,"Time, place, person information","Media, location and backup information",Hardware configuration,C
726,17: Data management,Which of the following is incorrect in relation to the data catalogue?,It describes all the variable for any future reference,It is useful if we share the data with others,It is useful to know how a variable has been coded,It is advisable to exclude the missing values from data catalogue,D
727,17: Data management,Which of the following is incorrect about normalized database?,Normalized database facilitates further aggregation,It has only one count by record,Normalized database does not facilitate further data aggregation,Both ‘b’ and ‘c’,C
728,17: Data management,Which of the following is FALSE about Unique Identifier (ID)?,It can be same for more than one participant in a study,It can be alphanumeric,It can be a composite number,It can be used to maintain the anonymity of participants,A
729,17: Data management,Which of the following is NOT a quality assurance measure in designing a data entry form?,Using legal values,Using minimum and maximum values,Avoiding skip patterns,Use of automatic coding,C
730,17: Data management,In a data management system each column represents a(n)-,Variable,Record,Heading,Appendix,A
731,17: Data management,Which of the following is FALSE about Mother-Daughter databases?,Information is collected at various levels,Information of each level is stored in a different database,They can be linked by a common index identifier,Each database cannot have its own unique identifier system,D
732,17: Data management,State whether true or false. Coding with ‘0’ and ‘1’ should be avoided for dichotomous variables.,TRUE,FALSE,,,B
733,17: Data management,Which of the following is FALSE about data dictionary?,It is created after the data entry is started,It contains the values assigned to the variables,It gives a brief description of the variables,It links the variables in the database to the questionnaire,A
734,17: Data management,"Identify the type of variable in this question. “Have you ever smoked cigarettes? i.) Yes, ii.) No",Categorical,Ordinal,Continuous,Discrete,A
735,17: Data management,"In a study on cancer, the ‘stage of cancer’ was recorded as Stage I, Stage II, Stage III and Stage IV. Which of the following variable types best describes the ‘stage of cancer’?",Nominal,Ordinal,Categorical,Continuous,B
736,17: Data management,"In a study with 100 participants, age was recorded as a continuous variable. During data entry, it was seen that age was missing in the forms for 13 people. Which of the following is TRUE in this situation?",Missing values can be coded as ‘999’,Age variable should be removed from the study,An arbitrary value can be assigned by the data entry operator,Participants with missing age should be removed from the study,A
737,17: Data management,"State whether true or false. While entering the systolic blood pressure (expected value 60 to 200) value in a database, coding the missing value as 99 may lead to an erroneous result.",TRUE,FALSE,,,A
738,18: Overview of data analysis,The three stages of data analysis are in the following order,"Descriptive stage, analytical stage and recoding stage","Recoding stage, descriptive stage and analytical stage","Analytical stage, descriptive stage and recoding stage","Descriptive stage, coding stage, recoding stage",B
739,18: Overview of data analysis,We need to avoid the following while performing data analysis,Post hoc analysis,Data drenching,Stratified data analysis,a' and 'b',D
740,18: Overview of data analysis,"In the descriptive stage of analysis, we use logistic regression models",TRUE,FALSE,,,B
741,18: Overview of data analysis,Epi-Info is a software used for data entry and data analysis,TRUE,FALSE,,,A
742,18: Overview of data analysis,"In analytical stage of data analysis, we perform the following in order","Stratified analysis, univariate analysis and multivariate analysis","Univariate analysis, stratified analysis and multivariate analysis","Multivariate analysis, univariate analysis and stratified analysis",Frequency analysis and univariate analysis,B
743,18: Overview of data analysis,"Among the seven steps of data analysis strategy, the sequence of data analysis is as follows A.)Conduct advanced analysis, . B.) Identify main variables, C.) Become familiar with the data, D.) Identify study type, E.) Examine outcome/exposure association, F.) Characterize study population, G.) Create additional two-way tables,","A, B, C, D, E, F, G","G, E, F, D, A, B, C","D, B, C, F, E, G, A","E, F, G, C, A, B, D",C
744,18: Overview of data analysis,"In case of descriptive studies, which of the following is wrong?",We describe the study outcome for 1 group,We compare the study outcome for 2 groups,We calculate the incidence for cohort or surveillance data,"We calculate prevalence	for cross sectional survey",B
745,18: Overview of data analysis,If we are doing an analytical study and the study outcome is of acute nature and rare condition what is the appropriate (i) study design and (ii) measure of association?,Cohort study - Relative risk,Case-control study - Odds ratio,Cross-sectional study - Prevalence ratio,Surveillance - Incidence,B
746,18: Overview of data analysis,Analysis plan depends on,Objectives of the study,Budget,Study type (Descriptive or analytical),a' and 'c',D
747,18: Overview of data analysis,"Use of spreadsheets, such as Excel, should be avoided for data management and analysis",TRUE,FALSE,,,A
748,18: Overview of data analysis,Multivariate regression models are used during the descriptive stage of analysis,TRUE,FALSE,,,B
749,18: Overview of data analysis,“Epi-Info” is a software that can be used to create data collection instrument format,TRUE,FALSE,,,A
750,18: Overview of data analysis,In a research study the analysis plan depends on,Objectives and study type,Allocated budget,Availability of the statistician,Existing time for analysis,A
751,18: Overview of data analysis,"At the time of data cleaning, which of the following is not done?",Checking and removing duplicates,Dealing with missing observations,Calculating strength of association,Checking range and legal values,C
752,18: Overview of data analysis,To describe the study population characteristics we need to,Calculate the frequency distribution,Calculate measures of association,Look for correlation between variables,perform multivariable regression,A
753,18: Overview of data analysis,"While examining the association between exposure and outcome based on a priori hypotheses, we compare frequency of exposures between cases and controls using appropriate measure of association",TRUE,FALSE,,,A
754,18: Overview of data analysis,If we are doing an analytical study and the study outcome is of acute nature and a frequent condition what is the appropriate (i) study design and (ii) measure of association?,Cohort study - relative risk,Case-control study – odds ratio,Cross sectional study - Prevalence,Surveillance - Incidence,A
755,18: Overview of data analysis,Which of the following statements are CORRECT,Plan for data analysis is made at the end of the study,Recoding can be done for key variables,Multivariate analysis is done before doing a univariate analysis,Data drenching is acceptable,B
756,18: Overview of data analysis,"Which of the following is the correct sequence for data analysis i.) Multivariate analysis, ii.) Recoding, iii.) Measures of association, iv.) Frequency distribution","ii, iii, iv, i","i, iii, iv ii","ii, iv, iii, i","iii, iv, i, ii",C
757,18: Overview of data analysis,Spreadsheets are ideal tools for data entry and analysis,TRUE,FALSE,,,B
758,18: Overview of data analysis,All the following are done to characterize the study population EXCEPT,Provide frequency distribution of age,Provide percentages of gender,Compare baseline characteristics of study groups,Conduct logistic regression analysis,D
759,18: Overview of data analysis,Which of the following is the appropriate measure of association in a case-control study?,Odds ratio,Prevalence ratio,Relative risk,Incidence,A
760,18: Overview of data analysis,State whether true or false. Prevalence ratio is one of the measures of association calculated in an analytical cross-sectional study.,TRUE,FALSE,,,A
761,18: Overview of data analysis,State whether true or false. Hypothesis testing is conducted in an analytical epidemiological study.,TRUE,FALSE,,,A
762,18: Overview of data analysis,"Identify the correct sequence in the steps of data analysis. i.) Identify exposure, outcome and other variables, ii.) Check data for consistency, duplicates and missing values, iii.) Examine association between outcome and exposure, iv.) Examine baseline characteristics of the study population","i, ii, iii, iv","i, ii, iv, iii","ii, iv, i, iii","iii, i, ii, iv",B
763,18: Overview of data analysis,Which of the following is NOT done during the analytic stage of data analysis?,Calculating frequency of the outcome in one group,Calculating frequency of the outcome by age and gender,Calculating odds ratio between exposure and outcome,Applying logistic regression,C
764,18: Overview of data analysis,Relative risk is calculated in which of the following study designs?,Cross-sectional study,Cohort study,Case study,Case control study,B
765,18: Overview of data analysis,State whether true or false. Risk ratio can be calculated in a descriptive cross-sectional study.,TRUE,FALSE,,,B
766,18: Overview of data analysis,"In a case-control study to examine the association between mobile phone use and acoustic neuroma, 24 cases of acoustic neuroma and 72 hospital controls were recruited from the ENT department of a medical college in Gilgit. History of mobile phone use (>6 hours/day) was ascertained using a standard questionnaire. Exposure was present among 16 cases and 18 controls. Calculate the measure of association.",Odds ratio 1.5,Relative risk 1.5,Odds ratio 6,Relative risk 6,C
767,18: Overview of data analysis,"In a case control conducted taking 100 autism children and 200 normal children in Bhopal city, it was found that 90 autism children and 60 normal children had a history of instrumental delivery. Calculate the measure of association between instrumental delivery and autism.",12,21,6,9,B
768,19: Ethical framework for health research,"In which of the following guidelines, discussion on rationale and justification of risk benefit analysis of research and voluntary consent in research was initiated?",Belmont report,Helsinki declaration,Nuremberg code,CIOMS guidelines,C
769,19: Ethical framework for health research,In which type of the following study/studies is (are) informed consent not necessary?,Investigation of an outbreak,Analysis of mortality data of 2001-2010,Using verbal autopsy to determine the cause of death,All of the above,A
770,19: Ethical framework for health research,"In which of the following type of research, ethical review is (are) mandatory?",Prevalence of HIV infection using blood investigation,Awareness about diabetes using questionnaire only,Calculate out of pocket expenditure using secondary data,All of the above,D
771,19: Ethical framework for health research,Which of the following is not important in the context of an informed consent document?,Detailed description of study procedures,Budget of the study,Details regarding compensation and post-trial access to care,Contact details of the Principal Investigator,B
772,19: Ethical framework for health research,"In the middle of a clinical trial, one participant decides to withdraw from the trial. But, the investigator pressurizes the participant to continue in the study till it completes. Which of the following ethical principles does the investigator violate?",Justice,Autonomy,Beneficence,Non-Maleficence,B
773,19: Ethical framework for health research,Which of the following are not ethical practices in health research?,Taking informed consent from participants prior to study participation,Giving lot of money to increase study participation,Lack of adherence to study protocol,b' and 'c',D
774,19: Ethical framework for health research,Do no harm concept was emphasized in which of the following ethical principles?,Justice,Autonomy,Beneficence,Non-Maleficence,D
775,19: Ethical framework for health research,Genetic research that involves human participants and conducted by a private research institute should follow,ICMR Guidelines,Genome Policy and Genetic Research [2000],Both 'a' and 'b',Neither 'a' nor 'b',C
776,19: Ethical framework for health research,"While conducting research among tribal populations, which of the following is recommended?",Consent from the tribal head (Group consent) is desirable,Group consent can replace individual consent,Women can be excluded from informed consent process,Confidentiality not required,A
777,19: Ethical framework for health research,"In a clinical research, the researcher knowingly excludes recruitment of female participants without any compelling indications. Which of the following ethical principle does the investigator violate?",Justice,Autonomy,Beneficence,Non-Maleficence,A
778,19: Ethical framework for health research,In which of the following situations is ethics review essential?,When already available or archived data are used for research,"Involving some risk when some questions are asked, some samples are collected or some drugs are given",‘a’ and ‘b’,Only ‘b’,C
779,19: Ethical framework for health research,A study participant can be forced by the investigator to continue in a trial against his will. This is in conflict with which of the following ethical principles?,Autonomy,Justice,Beneficence,None of the above,A
780,19: Ethical framework for health research,"The physician should do what is medically indicated, do good than possible harm. This principle is encompassed in the ethical dimension of:",Beneficence,Justice,Nonmaleficence,Autonomy,C
781,19: Ethical framework for health research,"Study monitors, regulators and ethics committee members have an authority to verify the consent documentation of research participants.",TRUE,FALSE,,,A
782,19: Ethical framework for health research,Which of the following is not true about an Informed Consent?,IC helps participants take an informed decision about participation in the research study,IC has information on potential risks and benefits of the study,IC process intends to protect the study participants,IC taken by coercion is considered valid,D
783,19: Ethical framework for health research,Which of the following have the guidance in the Belmont report?,The procedure of ‘informed consent’,"The basic ethics principles of autonomy, justice and beneficence",Review by ethics committee,All of the above,D
784,19: Ethical framework for health research,Which of the following is typically not within the domain of ethical review of the proposed research?,Novelty of research,Competence of researchers,Relevance of research,To advocate for the study in the community,D
785,19: Ethical framework for health research,The process of Informed consent can be repeated several times during the research study if necessary.,TRUE,FALSE,,,A
786,19: Ethical framework for health research,"As part of evaluation of a new vaccine which requires taking a daily oral dose of a refrigerated vaccine, the research team offers to provide a refrigerator to families of participants who don’t have one. Which of the following ethical issues the Institutional Ethics Committee will have to deal with while reviewing the research study?",Undue inducement,Coercion,Compromising principle of justice,None of the above,A
787,19: Ethical framework for health research,"In an observational study on menstrual hygiene among school going girls aged 14 to 16 years, informed assent will be required to be taken from the adolescent girls. In addition, informed consent will be required from:",Parent of adolescent girls,Institutional Head,Both,None of the above,A
788,19: Ethical framework for health research,State whether true or false. Review of health records for research does NOT require approval of institute ethics committee,TRUE,FALSE,,,B
789,19: Ethical framework for health research,A participant wants to withdraw from a study before its completion. Which of the following principles of ethics entitles him/her to do so?,Autonomy,Justice,Beneficence,Non-maleficence,A
790,19: Ethical framework for health research,Which of the following does NOT describe ethical principles in research?,Nuremberg code,Helsinki declaration,Council for International Organization and Medical Sciences,Bhore report,D
791,19: Ethical framework for health research,"When a research study is planned among adolescents (12-15 years), the following is NOT required?",Assent from participant,Consent from participant,Consent from parent,Consent from legally accepted representative,B
792,19: Ethical framework for health research,Non-Maleficence means,Self-respect,Do no harm,Fair and correct,Doing good,B
793,19: Ethical framework for health research,"State whether true or false. Once a participant has provided informed consent, it cannot be withdrawn.",TRUE,FALSE,,,B
794,19: Ethical framework for health research,Which of these is NOT a part of informed consent process?,Confidentiality,Disclosure of risks and benefits,Compensation for lost wages,Encouraging the person to consent,D
795,19: Ethical framework for health research,Which of the following statement is NOT correct?,Compensation for participants is offered for trial related injury,Research participants can be paid for travel expenses,Payment can be offered to encourage participation,Wage loss of the participants can be compensated,C
796,19: Ethical framework for health research,Which of the following is NOT a responsibility of the Institutional Ethics Committee?,Evaluate the potential benefit from the study to the community,Protect the rights of the study participants,Sanction funding for the study,Re-evaluate the study if and when modified,C
797,19: Ethical framework for health research,"When a particular ethnic group is excluded from a research study without any valid, scientific reason(s), this is breach of -",Autonomy,Justice,Beneficence,Non maleficence,A
798,20: Conducting clinical trials,A study design that randomly assigns participants into an experimental group or a control group is call as,Cohort study,Case-control study,Randomized controlled trials,Cross-sectional study,C
799,20: Conducting clinical trials,Which of the following statements is (are) true in case of adverse events in a clinical trial?,An unexpected clinical/familial/social problem that occurs during treatment with a drug or other therapy is termed as adverse event,Adverse events do not have to be caused by the drug or therapy under trial,Temporal relationship between study product administration and adverse events is critically important,All of the above,D
800,20: Conducting clinical trials,"To ensure that safety and welfare of the research participants is adequately protected, it is important that the clinical trial protocol is critically reviewed for the following",Scientific content,Ethical issues,Regulatory norms,All of the above,B
801,20: Conducting clinical trials,Informed consent is provided after explanation of,All study procedures,Risks,Benefits,All of the above,D
802,20: Conducting clinical trials,Bodies like Drug Controller General of India (DCGI) and Health Ministry Screening Committee (HMSC) are concerned with the following,Regulatory review,Scientific review,Ethics review,All of the above,A
803,20: Conducting clinical trials,Which of the following is (are) monitored in a clinical trial?,Adherence to Good Clinical Practice (GCP),"Documentation of informed consent, randomization and study product administration",Adverse events reporting,All of the above,D
804,20: Conducting clinical trials,The primary responsibilities of the Data Safety Monitoring Body (DSMB) are to,"Periodically review and evaluate the accumulated study data for participant safety, study conduct and progress of trial","Periodically review and evaluate the accumulated study data for participant safety, study conduct and progress and make recommendation concerning the continuation, modification, or termination of the trial","Periodically make recommendations concerning the continuation, modification, or termination of the trial",Decide the randomization sequence,B
805,20: Conducting clinical trials,Which of the following best describes the advantages of conducting a Randomized controlled trial?,It is only effective design for overcoming selection bias of participants,The result can be readily generalized,"It is a simple, uncomplicated and non-regulated study design",It requires small sample size,A
806,20: Conducting clinical trials,When is the Informed consent obtained from the subjects in a clinical trial?,Prior to participation in the trial,Just after the trial has started,At any point during the conduct of a trial,At the end of the trial,A
807,20: Conducting clinical trials,Investigators are required to report adverse events occurring during a clinical trial to which of the following agencies?,Regulatory authority,Sponsor,Institutional Ethics Committee,All of the above,D
808,20: Conducting clinical trials,A method of allocating treatment such that each subject has an equal chance of receiving any of the possible treatments in a clinical trial is known as:,Blinding,Randomization,Allocation concealment,None of the above.,B
809,20: Conducting clinical trials,Which of the following statements regarding document storage and archival after the conclusion of a trial; is correct?,"If the data is computerized, there is no need to archive paper based records.",The investigator has a right to refuse to show the data even to regulatory authorities,Archival for a period of 5 - 15 years as per the requirement of the sponsor may be necessary,All of the above,C
810,20: Conducting clinical trials,Which of the following is not true?,Data Safety Monitoring Body (DSMB) is an independent entity.,DSMB is appointed by the Investigators,DSMB periodically reviews and evaluates the accumulated study data for participants’ safety,DSMB assures that the scientific integrity of the trial is maintained during the period of interim analysis,B
811,20: Conducting clinical trials,An unexpected clinical/ familial/ social problem that occurs while on treatment with a drug or other therapy during participation in a clinical trial without any judgment about causality or relationship to the drug is known as:,Serious adverse event,Adverse event,Reportable event,None of the above,B
812,20: Conducting clinical trials,Clinical trials require review at various levels as per the in-country guidelines. State whether true or false.,TRUE,FALSE,,,A
813,20: Conducting clinical trials,The most common method of preventing potential harm to study participants is by adhering to ‘trial stoppage rules’ based on evidence on unacceptable toxicity or adverse effects rates seen during monitoring. State whether true or false.,TRUE,FALSE,,,A
814,20: Conducting clinical trials,Which of the following is true about screening protocol of a clinical trial?,Those who are interested in participating in the trial participate in an interview may have to undergo medical examination,Eligibility of the potential participant is determined in screening,Information on study related procedures and inclusion and exclusion criteria are provided by the study investigators to the potential participants,All the above three statements are true,D
815,20: Conducting clinical trials,Reimbursements for which of the following raise no ethical questions?,Compensating for the time spent in coming over and the loss of daily wages due to participation,For the travel cost involved,For food expenses,"‘a’, ‘b’ and ‘c’",D
816,20: Conducting clinical trials,Which of the following statements is wrong?,Drug Controller General of India is a Regulatory Authority in India,Institutional Governing Board is responsible for scientific review of projects,Institutional Ethics Committee is responsible for ethics review of a proposal,None of the above,B
817,20: Conducting clinical trials,Which of the following are NOT methods for identifying and preventing potential harm to study participants?,Adverse and serious adverse events reporting,Periodic review of the project by Data Safety Monitoring Board,Close watch on enrolment targets,Regular monitoring of the trial by a preidentified monitoring agency,C
818,20: Conducting clinical trials,State whether true or false. The scientific advisory committee examines the safety and welfare of the research participants in a trial.,TRUE,FALSE,,,B
819,20: Conducting clinical trials,"If the project is getting funded internationally, which of the following committees looks at the regulatory affairs?",Health ministry screening committee,Genetic engineering approval committee,Ethics committee,All the above,A
820,20: Conducting clinical trials,"State whether true or false. In order for a clinical trial to be ethically appropriate, participants must give their informed voluntary consent.",TRUE,FALSE,,,A
821,20: Conducting clinical trials,Which of the following is FALSE with regard to data analysis in clinical trials?,Baseline characteristics of participants should be compared across study arms,Interim analysis can be performed if pre-stated in the protocol,Analyses in clinical trials are only descriptive in nature,People who are lost to follow up can be included in the analysis,C
822,20: Conducting clinical trials,Which of the following is FALSE when dealing with serious adverse events in a clinical trial?,Making provision for free treatment,Informing the regulatory authorities,Taking action only if 1% are affected by the adverse events,Withdrawing the implicated intervention for the affected,C
823,20: Conducting clinical trials,A trial can be pre-maturely stopped if,A significant unanticipated risk is demonstrated,The investigators lose interest,The principal investigator retires,Minor adverse events are reported,A
824,20: Conducting clinical trials,Data Safety Monitoring Body (DSMB) is primarily responsible for which of the following?,Periodically review and evaluate the accumulated study data for participant safety,Periodically review and evaluate the study conduct and progress,"Make recommendations concerning the continuation, modification, or termination of a clinical trial",All of the above,D
825,20: Conducting clinical trials,Which of the following is NOT an advantage of a Randomized Controlled Trial?,Controls for confounding bias effectively,Provides high level of evidence,Can be conducted in the community or hospital,Blinding in trial eliminates selection bias,C
826,20: Conducting clinical trials,Which of the following statement is FALSE with regards to a Randomized Controlled Trial?,Adverse events should be reported to the Data Safety Monitoring Board,Trial related documents must be archived after the trial is over,Drug trials ideally should have a predefined stoppage rule,Ethics committee clearance cannot be withdrawn after initial approval,D
827,20: Conducting clinical trials,State whether true or false. It is unethical to use a placebo for the control arm instead of the current standard of care in a clinical trial.,TRUE,FALSE,,,A
828,21: Preparing a concept paper for research projects,"If there are many study objectives, it may be necessary to differentiate the objectives into primary and secondary or general and specific objectives",TRUE,FALSE,,,A
829,21: Preparing a concept paper for research projects,Which among the following is not a component of concept paper?,Background and Justification,Objectives and Methods,"Expected benefits, Key references and Budget",Conclusion,D
830,21: Preparing a concept paper for research projects,Which of the following is NOT true about references in the concept paper?,We can cite references in Introduction and Methods section,It is important to write references following standard guidelines,Statements should be linked to references,We can have as many references as possible,D
831,21: Preparing a concept paper for research projects,"The ""Background and Justification"" section in the concept paper should be written in the following sequence","Known and unknown aspects of the problem, information that needs to be generated to address the problem in an effective manner and statement of objectives","Known and unknown aspects of the problem, Importance of the study problem and information that needs to be generated to address the problem in an effective manner","Importance of the study problem, known and unknown aspects of the problem and information that needs to be generated to address the problem in an effective manner","Information that needs to be generated to address the problem in an effective manner, known and unknown aspects of the problem and statement of objectives",C
832,21: Preparing a concept paper for research projects,Advantages of writing a concept paper include,You may be able to organize your ideas,It gives an opportunity to stand out and receive a positive response from reviewers,You are sure to get funding,a' and 'b',D
833,21: Preparing a concept paper for research projects,The elements of the methods section in the concept proposal needs to be adopted according to the study design chosen,TRUE,FALSE,,,A
834,21: Preparing a concept paper for research projects,The ethics section of the concept proposal should include information about,Key measures taken to protect the study participants,The ethics committee to which the study will be submitted for approval,Scientific committee that will review the study,a' and 'b',D
835,21: Preparing a concept paper for research projects,"Which of the following needs to be spelt out in ""Expected benefits"" section of the concept proposal?",Expected outputs that the study will generate with timeline,Proposed immediate action based on research findings,How this research may set agenda for further research,All of the above,D
836,21: Preparing a concept paper for research projects,"Budget estimate is not mandatory in the concept proposals. However, it would be very useful to prepare the indicative budget for key items",TRUE,FALSE,,,A
837,21: Preparing a concept paper for research projects,"While writing the concept papers for intervention studies, the methods section must have the following details",Primary and secondary outcome definitions,"Randomization, sequence allocation and allocation concealment","Dose, frequency, nature of Intervention",All of the above,D
838,21: Preparing a concept paper for research projects,"Immediately after identification of research topic and statement of objectives, it may be preferable to",Write protocol,Outline one-page concept paper,Prepare dummy tables as per the analysis plan,Seek review by an institutional ethics committee,B
839,21: Preparing a concept paper for research projects,References need to be written following standard guidelines such as International Committee of Medical Journal Editors (ICMJE),TRUE,FALSE,,,A
840,21: Preparing a concept paper for research projects,Which of the following is the guideline that can be used for drafting protocols for a clinical trial?,SPIRIT,PRISMA,CARE,STROBE,A
841,21: Preparing a concept paper for research projects,Why is concept paper necessary for a research project?,It helps to finish the data collection rapidly,It helps to organize the ideas,It helps to get instant approval of ethics committee,It helps to publish the research quickly,B
842,21: Preparing a concept paper for research projects,Which of the following components are included in the background and justification section of the concept paper,Context of the study problem,Operational definitions,Sampling technique,Study procedure,A
843,21: Preparing a concept paper for research projects,Which of the following information is not addressed in the ethics section of the concept paper?,Information about sample and data storage,Key measures taken to protect the study participants,The ethics committee to which the study will be submitted for approval,Budget for salary of the projects staff,D
844,21: Preparing a concept paper for research projects,Which of the following is a component of concept paper?,Abstract,Objectives and Methods,Conclusion,Discussion,B
845,21: Preparing a concept paper for research projects,What is the basis for writing a one page concept paper?,Lack of time to draft a complete protocol,Overcomes inhibitions in drafting a complete protocol,It is mandatory for scientific committee protocol,For ethics committee approval,B
846,21: Preparing a concept paper for research projects,"The indicative budget in a concept paper includes salaries, per diem,travel, equipment and supplies",TRUE,FALSE,,,A
847,21: Preparing a concept paper for research projects,The concept paper helps agencies for,Screening the proposal for funding,Scientific committee approval,Ethics committee approval,Publishing the manuscript,A
848,21: Preparing a concept paper for research projects,Which of the following is NOT included in the background section of a concept paper?,Importance of a health problem,Known fact about the health problem,Prior contribution of the researcher in the topic,Knowledge gap in that topic,C
849,21: Preparing a concept paper for research projects,The methods section of the concept paper contains the following:,Key operational definitions,Conclusions,Context of study,Novelty of the study,A
850,21: Preparing a concept paper for research projects,Which of the following best describes the ‘Expected Benefits’ section of a concept paper?,Financial benefit to the funding agency,Policy changes based on the study findings,Financial benefit to the researcher,Academic improvement of the researchers,B
851,21: Preparing a concept paper for research projects,Which of the following are components of a concept paper?,Study title and references,"Study title, abstract and references",Abstract and references,"Study title, results and references",A
852,21: Preparing a concept paper for research projects,Sampling strategy is discussed in which of the following section of a concept paper?,Background,Objectives,Methodology,Results,C
853,21: Preparing a concept paper for research projects,Which of the following statement is true about the ‘Reference’ section of a concept paper?,References must be written following standard guidelines,Unlimited references are preferred in a concept paper,Reference section is usually an optional component,References are usually required for the results section,A
854,21: Preparing a concept paper for research projects,"A post graduate has mentioned the estimated budget for her thesis to be 50,000 INR in the concept paper. Which of the following components of the budget may not be justified?",Salary for data collectors,Travel cost for data collection,Equipment cost,Remuneration for the thesis guide,D
855,21: Preparing a concept paper for research projects,Identify the INCORRECT statement about protocol writing?,A protocol is a must for obtaining the ethics committee approval,A well-written protocol is often helpful to draft a one-page concept proposal,All known facts in a protocol must be supported by appropriate reference,Peer review helps in improving the quality of a protocol,B
856,21: Preparing a concept paper for research projects,"All the followings are recommended while writing a concept paper, EXCEPT",Preparing a concise document,Presenting mostly in bullet forms,Describing the methods section in detail,Restricting the number of objectives,C
857,21: Preparing a concept paper for research projects,Which of the following is a consideration in framing the objectives of a concept paper?,Choosing appropriate action verbs,Calculating sample size based on the secondary objectives,Stating broad objectives,All the above,A
858,22: Elements of a protocol for research studies,Description of the intervention is essential in a research protocol for,Experimental study,Case-control study,Cohort study,Cross-sectional study,A
859,22: Elements of a protocol for research studies,Inclusion and exclusion criteria should be included under the following section in the protocol,Sampling,Study population,Study design,Sample size,B
860,22: Elements of a protocol for research studies,The details regarding data quality assurance should be written in the following section in the protocol,Data collection,Data analysis,Project implementation,Data entry,C
861,22: Elements of a protocol for research studies,The following annexure in the study protocol deals with toxicity management,Study management forms,Standard operating procedures,Consent forms,Adverse event management form,D
862,22: Elements of a protocol for research studies,"Study population, sample size and sampling are included in the following section of the protocol",Introduction,Methods,Objectives,Expected Benefits,B
863,22: Elements of a protocol for research studies,First step for writing a successful protocol,Write a one page concept paper,"Identify topic, research question and objectives",Write a draft protocol,Seek ethics approval,B
864,22: Elements of a protocol for research studies,Key outcomes and exposures should be explained under,Data analysis,Data collection tools,Sampling,Operational definitions,D
865,22: Elements of a protocol for research studies,Human participant protection paragraph addresses all except,Confidentiality,Risks,Compensation,Sample size calculation,D
866,22: Elements of a protocol for research studies,Willingness of 'study participants' to participate in the study is obtained by,Informed consent,Oral commitment,Willingness not necessary,None of the above,A
867,22: Elements of a protocol for research studies,The section that guides how the objectives lead to indicators,Introduction,Study design,Budget,Objectives,D
